Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
532644,JKCEMENT,A,1170.00,1174.45,1170.00,1172.45,84,0.98,22,
535322,REPCOHOME,A,99.70,102.00,97.20,98.70,992,0.98,43,
500009,AMBALALSA,X,16.50,16.50,16.00,16.40,6052,0.98,14,
532796,LUMAXTECH,B,74.20,75.45,73.75,75.45,1304,0.97,45,
532617,JETAIRWAYS,Z,27.65,27.65,27.65,27.65,3490,0.96,30,
534690,LAKSHVILAS,A,13.50,13.50,13.28,13.33,7183,0.96,25,
534804,CARERATING,A,403.00,403.85,397.90,403.55,238,0.95,78,
517522,RAJGLOWIR,B,210.35,220.00,210.35,217.10,446,0.95,17,
517500,ROTO,X,96.30,96.30,94.00,95.40,1003,0.95,33,
523782,MITSHI,X,41.20,41.20,35.60,36.10,2355,0.95,13,
526544,SCANPGEOM,X,20.70,20.75,20.25,20.50,4689,0.95,10,
500280,CENTENKA,B,144.80,148.85,144.80,148.10,642,0.94,48,
531637,PRAVEG,X,19.95,19.95,19.95,19.95,4710,0.93,3,
517536,ONWARDTEC,B,51.00,52.95,50.30,50.60,1796,0.92,62,
520113,VESUVIUS,B,873.25,886.65,867.60,886.65,105,0.92,7,
506618,PUNJABCHEM,B,437.70,444.00,437.70,444.00,208,0.92,9,
526423,KRITIIND,X,16.75,17.25,16.41,17.01,5388,0.91,24,
532605,JBMA,B,169.00,180.90,169.00,170.00,527,0.91,55,
526235,MERCATOR,T,0.69,0.72,0.69,0.71,127914,0.90,33,
519260,SANWARIA,T,2.81,2.81,2.81,2.81,32308,0.90,40,
505720,HERCULES,B,70.15,72.60,70.00,71.30,1276,0.90,62,
541557,FINEORG,A,2083.70,2089.95,2064.35,2064.35,43,0.89,14,
503031,PENINLAND,B,3.60,3.78,3.60,3.62,23525,0.88,24,
500249,KSB,B,535.00,535.00,505.00,505.00,174,0.88,24,
532735,RSYSTEMINT,B,102.10,102.55,101.50,102.55,864,0.88,17,
540526,IRBINVIT,IF,35.30,35.30,35.30,35.30,2500,0.88,1,
532988,RANEENGINE,B,208.10,212.00,203.00,209.85,417,0.87,36,
505854,TRF,B,77.75,80.00,77.75,79.15,1104,0.87,57,
517271,HBLPOWER,B,12.95,13.37,12.85,13.32,6653,0.86,54,
524091,ACRYSIL,X,71.00,71.00,69.40,70.95,1215,0.86,10,
517330,CMI,B,26.25,26.75,26.20,26.75,3200,0.84,178,
500241,KIRLOSBROS,B,101.95,102.85,101.35,102.10,824,0.84,65,
500467,HARRMALAYA,B,63.70,64.50,62.20,62.20,1306,0.83,44,
507785,TAINWALCHM,B,63.95,63.95,58.80,60.95,1362,0.83,24,
507981,JINDHOT,X,20.75,20.75,19.75,19.75,4207,0.83,33,
533262,RAMKY,B,31.55,35.10,31.55,34.60,2495,0.83,39,
539122,BODHTREE,X,37.70,37.70,32.70,34.00,2471,0.83,63,
542850,GOBLIN,M,41.75,41.75,41.75,41.75,2000,0.83,1,
540073,BLS,B,41.85,42.90,41.00,41.40,1990,0.82,34,
532713,SAKUMA,T,8.38,8.40,7.72,8.10,10005,0.82,56,
532815,SMSPHARMA,B,44.10,44.65,43.35,44.05,1862,0.82,49,
507998,SIMMOND,X,27.35,29.00,27.35,29.00,2987,0.82,16,
506579,ORIENTCQ,B,606.95,607.20,602.05,606.90,136,0.82,11,
