,Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,Unnamed: 10
1672,519475,CHORDIA,X,85.95,85.95,83.0,83.0,504,0.42,11,
1673,517063,JETKINGQ,X,25.2,25.2,23.9,24.0,1709,0.42,13,
1674,516108,STHINPA,X,56.0,60.0,54.9,54.95,730,0.42,12,
1675,517035,RIR,X,28.1,28.45,27.0,28.45,1490,0.41,23,
1676,517330,CMI,B,23.75,23.75,23.05,23.65,1719,0.41,18,
1677,522034,SHANTIGEAR,B,83.7,84.25,83.5,83.75,486,0.41,33,
1678,506808,TUTIALKA,XT,8.25,8.25,8.25,8.25,4940,0.41,10,
1679,507474,KFBL,X,45.8,45.8,41.75,45.4,929,0.41,15,
1680,532716,GILLANDERS,B,22.4,22.4,21.35,22.4,1908,0.41,53,
1681,526783,DRAGARWQ,X,218.0,239.8,206.9,225.0,181,0.41,16,
1682,530845,SUNSHIEL,X,81.0,91.7,81.0,88.2,466,0.41,19,
1683,540980,YSL,XT,7756.0,8499.95,7756.0,8499.95,5,0.41,5,
1684,540776,5PAISA,B,168.6,168.6,163.6,164.35,247,0.41,45,
1685,540358,RMC,M,20.5,20.5,20.5,20.5,2000,0.41,1,
1686,532797,AUTOIND,T,15.5,16.01,15.15,16.01,2580,0.4,30,
1687,500327,PILITA,B,4.55,4.68,4.49,4.61,8659,0.4,35,
1688,526616,NATPLAS,X,18.25,20.45,18.05,19.9,2043,0.4,38,
1689,506480,GOCLCORP,B,153.15,153.55,149.0,152.35,261,0.39,21,
1690,538730,PDSMFL,B,253.0,255.6,249.0,255.6,157,0.39,8,
1691,530711,JAGANLAM,X,16.53,16.53,14.97,16.53,2361,0.39,16,
1692,540621,BHAGYAPROP,B,20.0,20.0,18.8,19.65,1973,0.39,16,
1693,540793,HHOF1140RG,B,6.85,6.85,6.35,6.36,5962,0.38,7,
1694,541163,SANDHAR,B,140.45,148.35,139.65,148.35,266,0.38,15,
1695,542905,SHIL,B,69.5,72.45,69.5,72.45,546,0.38,29,
1696,531109,ISHANCH,X,23.0,24.2,23.0,23.65,1600,0.38,12,
1697,537253,SUNLOC,X,19.5,19.5,18.4,18.5,2026,0.38,13,
1698,532852,MCDHOLDING,B,23.5,23.5,23.5,23.5,1617,0.38,14,
1699,519126,HNDFDS,B,520.0,529.35,519.15,529.35,73,0.38,11,
1700,519216,AJANTSOY,X,29.35,29.35,26.85,27.9,1326,0.37,36,
1701,500307,NIRLON,B,222.0,229.0,222.0,223.1,164,0.37,12,
1702,533543,BROOKS,T,29.8,29.8,27.55,28.15,1302,0.37,15,
1703,533006,BIRLACOT,Z,0.1,0.1,0.1,0.1,372300,0.37,23,
1704,531688,PRITHVIEXCH,X,19.0,19.85,18.25,19.2,1948,0.37,17,
1705,526905,PADMAIND,X,4.86,4.86,4.68,4.68,7587,0.37,9,
1706,542758,ICICIBANKP,B,105.0,111.0,104.9,111.0,344,0.37,24,
1707,590110,QNIFTY,B,1020.0,1023.0,1016.0,1016.0,35,0.36,6,
1708,531041,COMPEAU,X,114.0,114.0,95.5,107.3,339,0.36,21,
1709,532656,FACORALL,X,1.35,1.35,1.27,1.32,27148,0.36,44,
1710,532172,ADROITINFO,B,5.75,5.95,5.5,5.82,6177,0.36,43,
1711,533982,TERASOFT,B,18.85,19.25,18.3,19.2,1909,0.36,16,
1712,500306,JAYKAY,X,2.7,3.1,2.7,3.01,12235,0.36,21,
1713,509635,HINDCOMPOS,B,135.25,138.1,133.0,133.0,269,0.36,27,
1714,519359,POONADAL,X,32.45,32.45,32.45,32.45,1110,0.36,22,
1715,523144,MEDICAPQ,X,10.31,10.31,9.46,9.91,3599,0.36,38,
1716,523449,SHARP,X,13.56,13.56,13.56,13.56,2627,0.36,16,
1717,523007,ANSALBU,X,24.45,24.45,20.6,22.5,1511,0.35,42,
1718,513709,SHILGRAVQ,X,42.8,42.8,40.05,40.3,877,0.35,12,
1719,500151,GOLDENTOBC,B,25.95,25.95,25.35,25.95,1341,0.35,33,
1720,538812,AANCHALISP,T,5.19,5.19,5.0,5.16,6781,0.35,22,
1721,539518,UDAYJEW,X,64.0,75.5,64.0,68.95,494,0.35,33,
1722,532721,VISASTEEL,B,4.32,4.32,4.07,4.17,8300,0.35,18,
1723,531539,RISHDIGA,X,19.4,20.0,19.0,19.55,1786,0.35,23,
1724,590018,HISARMET,B,56.3,56.3,55.45,55.45,621,0.35,20,
1725,541303,AKSHAR,M,5.86,5.86,5.86,5.86,6000,0.35,2,
1726,539979,DIGJAMLTD,Z,1.87,1.87,1.87,1.87,18496,0.35,12,
1727,540744,MESCON,XT,4.14,4.5,4.14,4.49,7623,0.34,47,
1728,541545,TALWGYM,Z,1.22,1.22,1.12,1.22,28352,0.34,41,
1729,532633,ALLSEC,B,184.1,189.0,182.4,187.0,183,0.34,20,
1730,533608,RDBRL,X,33.7,33.7,31.15,32.45,1092,0.34,23,
1731,534597,RTNINFRA,B,1.95,1.95,1.95,1.95,17229,0.34,8,
1732,533156,VASCONEQ,B,7.41,7.61,7.41,7.61,4529,0.34,14,
1733,532864,NELCAST,B,38.95,39.6,38.75,39.3,857,0.34,28,
1734,532775,GTLINFRA,B,0.36,0.36,0.36,0.36,95004,0.34,19,
1735,522017,FLUIDOM,X,64.0,64.0,60.4,61.05,555,0.34,13,
1736,521194,SILINV,B,107.9,111.85,107.65,111.85,310,0.34,7,
1737,523842,SUPTANERY,XT,2.22,2.22,2.13,2.21,14787,0.33,11,
1738,523710,SAYAJIHOTL,XT,161.6,178.5,161.6,177.95,185,0.33,20,
1739,512519,DONEAR,B,25.75,26.25,25.25,26.1,1265,0.33,70,
1740,532889,KPRMILL,A,448.75,455.0,448.75,454.25,73,0.33,14,
1741,533581,PGEL,B,36.0,36.25,36.0,36.25,911,0.33,29,
1742,539799,BHARATWIRE,B,16.95,17.75,16.95,17.75,1881,0.33,12,
1743,534615,NECCLTD,B,5.0,5.24,5.0,5.24,6224,0.32,173,
1744,537582,UNISHIRE,M,3.16,3.16,3.16,3.16,10000,0.32,1,
1745,532728,MALUPAPER,B,28.0,28.75,28.0,28.55,1125,0.32,11,
1746,532357,MUKTAARTS,B,20.95,22.3,20.3,22.3,1491,0.32,33,
1747,530079,FAZE3Q,X,27.0,28.0,26.9,27.35,1172,0.32,15,
