Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
501833,CHOWGULSTM,XT,3.34,3.68,3.34,3.68,2834,0.10,5,
506520,JAYCH,X,3.41,3.41,3.41,3.41,3000,0.10,7,
507498,PICCASUG,X,4.15,4.15,4.00,4.14,2437,0.10,16,
532730,SGL,B,6.25,7.20,6.25,6.43,1637,0.10,10,
532143,SKMEGGPROD,B,36.05,36.20,35.90,36.00,283,0.10,11,
526849,BANARBEADS,B,33.60,33.60,32.80,32.80,302,0.10,2,
531556,CORALFINAC,B,14.10,14.72,13.94,14.01,738,0.10,22,
531412,RADIXIND,XT,67.60,72.65,67.60,69.70,143,0.10,13,
533008,OISL,B,2.61,2.61,2.61,2.61,3651,0.10,7,
532774,INSPIRISYS,B,21.10,21.35,21.00,21.00,496,0.10,7,
532751,EASUNREYRL,Z,1.85,1.85,1.85,1.85,5221,0.10,5,
539015,ORTEL,Z,0.92,0.92,0.92,0.92,10910,0.10,10,
535204,MUKTA,X,3.19,3.19,3.01,3.19,3200,0.10,16,
537292,AGRITECH,T,31.05,32.55,31.05,31.45,320,0.10,4,
538928,KARNAVATI,B,15.55,15.55,15.55,15.55,675,0.10,5,
538837,JSTL,X,20.00,20.00,19.00,19.95,526,0.10,7,
534748,STEELXIND,B,12.00,12.60,12.00,12.60,720,0.09,24,
539814,RADHEY,X,24.00,25.90,23.95,24.00,371,0.09,5,
531201,SHILCTECH,X,98.40,98.40,93.60,93.60,95,0.09,4,
532334,HBESD,X,7.04,7.04,6.40,6.96,1410,0.09,9,
506074,ARSHIYA,T,9.26,9.26,9.26,9.26,1000,0.09,3,
505690,BRADYM,X,61.00,61.90,61.00,61.90,143,0.09,4,
500028,ATVPR,XT,3.20,3.36,3.10,3.29,2860,0.09,15,
512453,SHRJAGP,X,172.00,176.00,172.00,172.00,51,0.09,9,
526492,RISHIROOP,X,27.75,27.75,24.30,26.75,324,0.09,8,
524136,PCCOSMA,X,84.40,88.00,84.40,86.50,111,0.09,9,
540799,DACEFRG,B,9.00,9.00,9.00,9.00,1000,0.09,1,
542843,NIEHSPG,B,6.89,6.90,6.32,6.55,1211,0.08,7,
526381,PATINTLOG,B,17.85,17.90,17.00,17.90,442,0.08,4,
526325,ORIENTLTD,B,74.20,74.20,74.20,74.20,111,0.08,3,
526113,UNRYLMA,XT,11.00,11.00,11.00,11.00,749,0.08,3,
523475,LOTUSCHO,X,12.45,13.59,12.45,12.60,652,0.08,13,
521206,SAMTEX,X,0.37,0.38,0.37,0.38,21001,0.08,7,
511724,BALFC,X,29.20,32.00,29.20,29.20,273,0.08,18,
516064,ARROWGREEN,B,35.50,35.50,35.50,35.50,229,0.08,2,
514450,MHLXMIRU,X,26.40,26.45,25.35,25.40,306,0.08,5,
500013,ANSALAPI,T,5.00,5.10,4.87,4.90,1705,0.08,8,
505400,TEXINFRA,B,35.00,35.00,34.25,34.40,230,0.08,26,
506146,VIVIDHA,B,0.19,0.20,0.19,0.19,39950,0.08,5,
502820,DCM,B,18.65,18.65,17.45,17.50,453,0.08,5,
507508,RIGASUG,X,3.06,3.06,3.06,3.06,2690,0.08,4,
